Category,Command,Description,Parameters,Permission Required,Notes
Stats,/spar,Challenge the AI bot to a live practice battle on Pokemon Showdown,"showdown_name (your Showdown username required), format (autocomplete — defaults to Gen 9 Random Battle)",Any Member,"Bot (NCL-Colress) sends you a challenge on Showdown; posts result when done. Trained models: gen9randombattle, gen9monorandom, gen7randombattle, gen6randombattle"
Admin,/admin-update,Pull latest code from git + reload all cogs + re-sync commands,(none),Commissioner Only,"Runs git pull --ff-only, reloads every cog, then syncs slash commands to the server — one-stop bot update"
Admin,/admin-sync,Sync slash commands with Discord — pushes new or updated commands,"scope (guild = instant / global = up to 1 hour — defaults to guild)",Commissioner Only,Use after adding or changing commands; guild sync is instant and affects this server only
Admin,/admin-skip,Force-skip a player's pick turn,user (@mention required),Commissioner Only,Advances the pick order; cancels the current timer
Admin,/admin-pause,Pause the active draft — freezes the pick timer and stops auto-skips,(none),Commissioner Only,Draft stays in PAUSED status until /admin-resume
Admin,/admin-resume,Resume a paused draft — restores pick order and timer,(none),Commissioner Only,Restarts at the current player's turn
Admin,/admin-override-pick,Replace an existing pick with a different Pokemon,"user (@mention required), old_pokemon (name required), new_pokemon (name required)",Commissioner Only,Edits the pick in-memory; does not re-save to Sheets automatically
Admin,/admin-reset,Reset the entire draft (CANNOT BE UNDONE),(none — confirmation button appears),Commissioner Only,Wipes draft state from memory; does not roll back Sheets rows already written
Admin,/admin-train-all,Train AI models for ALL formats sequentially,"timesteps (int — default 500000), skip_existing (bool — default True), server (localhost/showdown/browser — default localhost)",Commissioner Only,"Trains every format in TRAINING_MAP one at a time; DMs a summary when all done. localhost requires local Node.js server; showdown/browser require two Showdown accounts"
Admin,/admin-train,Train the AI bot for a battle format,"format (autocomplete from TRAINING_MAP), timesteps (int — default 500000), force (bool — retrain even if model exists), server (localhost/showdown/browser — default localhost)",Commissioner Only,"Runs train_all.py in background; DMs result when done. localhost requires local Node.js server; showdown/browser require two Showdown accounts"
Admin,/admin-pull-models,Download trained AI models from the latest GitHub Release into data/ml/policy/,"format (autocomplete — blank = all formats), release (tag e.g. ml-models-r5 — blank = latest)",Commissioner Only,Fetches the newest ml-models-r* release automatically; specific tag overrides default
Admin,/admin-showdown-check,Open the local Showdown server health page in your browser + report TCP status,(none),Commissioner Only,"Opens http://localhost:8000 in the host machine's default browser; also shows reachability status. Ephemeral reply."
Sheet (Admin),/sheet-standings,View standings from the Google Sheets Standings tab,pool (A or B optional),Manage Server,Read-only view pulled directly from Sheets
Sheet (Admin),/sheet-schedule,Add a new match to the Schedule tab in Google Sheets,(none — opens modal form),Manage Server,Modal prompts for player 1 / player 2 / week / date
Sheet (Admin),/sheet-result,Record a match result manually in the spreadsheet,(none — opens modal form),Manage Server,Separate from /result — does not update ELO; for manual corrections
Sheet (Admin),/sheet-transaction,Log a trade / drop / add to the Transactions tab,(none — opens modal form),Manage Server,For keeper leagues or waiver wire transactions
Sheet (Admin),/sheet-rule,Add a rule entry to the Rules tab,(none — opens modal form),Manage Server,Rules are stored per-league in the Sheets Rules tab
Sheet (Admin),/sheet-setup,"View or edit the league Setup tab (name, format, season, timer, etc.)",action (view or edit — defaults to view),Manage Server,Edit mode opens a modal to change a specific setting key/value
Sheet (Admin),/sheet-player,Update a player's team name / pool / logo in the spreadsheet,(none — opens modal form),Manage Server,Useful for correcting registrations or pool assignments
Sheet (Admin),/sheet-pokedex,Sync all local Pokemon data to the Pokedex tab (slow — up to 1000 rows),(none),Manage Server,One-time seed operation; takes ~10s for all Gen 1-9 data
Sheet (Admin),/sheet-playoff,Add a playoff match result to the Playoffs tab,(none — opens modal form),Manage Server,Tracks bracket results separate from regular season
Misc,/help,Show all available bot commands grouped by category,(none),Any Player,Reads discord_commands.csv at call time — always reflects current command list
